COUNTY,Store #,BusinessName,CITY,Date Range,Calendar Date,Month,Year,Consumer Sales,Licensee Sales,Store Count,Total Sales
Umatilla,1006,Athena Convenience,ATHENA,TRUE,2/1/2018,2,2018,12941.65,1213.75,1,14155.4
Umatilla,1006,Athena Convenience,ATHENA,TRUE,1/1/2019,1,2019,14276.35,1931.5,1,16207.85
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,2/1/2017,2,2017,26642.75,1468.05,1,28110.8
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,5/1/2017,5,2017,37552.44,1404.6,1,38957.04
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,8/1/2017,8,2017,36925.5,2489.9,1,39415.4
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,1/1/2018,1,2018,24808.2,1201.55,1,26009.75
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,4/1/2018,4,2018,28604.6,1342.4,1,29947
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,7/1/2018,7,2018,43871.8,1136.35,1,45008.15
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,3/1/2019,3,2019,34558.2,1796.55,1,36354.75
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,6/1/2019,6,2019,32650.37,724.45,1,33374.82
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,2/1/2020,2,2020,37992.76,1308.15,1,39300.91
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,5/1/2020,5,2020,64260.35,464.8,1,64725.15
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,1/1/2021,1,2021,52324.1,55.85,1,52379.95
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,4/1/2021,4,2021,58540.85,375.9,1,58916.75
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,3/1/2022,3,2022,50290.96,2060.1,1,52351.06
Malheur,1011,Ontario Liquor Store,ONTARIO,TRUE,8/1/2017,8,2017,117773.6,38073.6,1,155847.2
Malheur,1011,Ontario Liquor Store,ONTARIO,TRUE,11/1/2017,11,2017,134694.25,34062.5,1,168756.75
Malheur,1011,Ontario Liquor Store,ONTARIO,TRUE,7/1/2018,7,2018,108092.45,25401.1,1,133493.55
Malheur,1011,Ontario Liquor Store,ONTARIO,TRUE,10/1/2018,10,2018,128576.65,32955.05,1,161531.7
Malheur,1011,Ontario Liquor Store,ONTARIO,TRUE,6/1/2019,6,2019,120255.45,34883.2,1,155138.65
Malheur,1011,Ontario Liquor Store,ONTARIO,TRUE,9/1/2019,9,2019,115232.85,34562.35,1,149795.2
Malheur,1011,Ontario Liquor Store,ONTARIO,TRUE,12/1/2019,12,2019,226842.68,40073.1,1,266915.78
Malheur,1011,Ontario Liquor Store,ONTARIO,TRUE,5/1/2020,5,2020,184909.05,16379.75,1,201288.8
Malheur,1011,Ontario Liquor Store,ONTARIO,TRUE,8/1/2020,8,2020,158334.4,24316.65,1,182651.05
Malheur,1011,Ontario Liquor Store,ONTARIO,TRUE,11/1/2020,11,2020,184422.8,15625.75,1,200048.55
Malheur,1011,Ontario Liquor Store,ONTARIO,TRUE,4/1/2021,4,2021,161994.2,35664.25,1,197658.45
Malheur,1011,Ontario Liquor Store,ONTARIO,TRUE,7/1/2021,7,2021,162292.48,36334.55,1,198627.03
Gilliam,1001,Murray's Condon Pharmacy,CONDON,TRUE,10/1/2017,10,2017,9208.75,3762.95,1,12971.7
Grant,1032,OK Garage,LONG CREEK,TRUE,12/1/2018,12,2018,4436.25,0,1,4436.25
Grant,1032,OK Garage,LONG CREEK,TRUE,11/1/2019,11,2019,6303.55,0,1,6303.55
Grant,1032,OK Garage,LONG CREEK,TRUE,10/1/2020,10,2020,10114.4,0,1,10114.4
Grant,1032,OK Garage,LONG CREEK,TRUE,9/1/2021,9,2021,10723.3,0,1,10723.3
Grant,1032,OK Garage,LONG CREEK,TRUE,12/1/2021,12,2021,7644.1,0,1,7644.1
Grant,1032,OK Garage,LONG CREEK,TRUE,8/1/2022,8,2022,7114.2,0,1,7114.2
Grant,1032,OK Garage,LONG CREEK,TRUE,11/1/2022,11,2022,8629.9,0,1,8629.9
Umatilla,1033,Pilot Rock Market,PILOT ROCK,TRUE,4/1/2017,4,2017,12713.29,1413.09,1,14126.38
Umatilla,1033,Pilot Rock Market,PILOT ROCK,TRUE,7/1/2017,7,2017,13575.35,1039.15,1,14614.5
Umatilla,1033,Pilot Rock Market,PILOT ROCK,TRUE,10/1/2017,10,2017,16097.5,1837.55,1,17935.05
Umatilla,1033,Pilot Rock Market,PILOT ROCK,TRUE,3/1/2018,3,2018,14176.15,2034.3,1,16210.45
Umatilla,1033,Pilot Rock Market,PILOT ROCK,TRUE,6/1/2018,6,2018,15443.99,2302.45,1,17746.44
Umatilla,1033,Pilot Rock Market,PILOT ROCK,TRUE,9/1/2018,9,2018,17927.8,1377.55,1,19305.35
Umatilla,1033,Pilot Rock Market,PILOT ROCK,TRUE,2/1/2019,2,2019,13841.85,221,1,14062.85
